RECORDING_SESSION_LABEL	TRIAL_INDEX	id	CURRENT_FIX_INDEX	CURRENT_FIX_LABEL	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION	IP_INDEX	IP_LABEL	TRIAL_LABEL	VIDEO_NAME_START	VIDEO_NAME_END	VIDEO_FRAME_INDEX_START	VIDEO_FRAME_INDEX_END	CURRENT_FIX_START	CURRENT_FIX_END	Session_Name_	Trial_Index_	Trial_Recycled_	attentioncatchaudio	attentioncatchvideo	identity	learnt	learntpos	left	novel	race	right	trial	variability	video
12070102	1	1w	1	Fixation: 5879 ms	158	224.4	98	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	175	178	5879	5976	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	2	Fixation: 6049 ms	650.8	958.8	44	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	181	182	6049	6092	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	3	Fixation: 6437 ms	818.9	930.9	126	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	192	196	6437	6562	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	4	Fixation: 6590 ms	939.3	946.1	237	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	197	204	6590	6826	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	5	Fixation: 6894 ms	325.4	1260.3	339	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	206	216	6894	7232	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	6	Fixation: 7265 ms	49.7	1402.3	518	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	217	233	7265	7782	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	7	Fixation: 8272 ms	939.9	923.5	70	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	247	249	8272	8341	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	8	Fixation: 8954 ms	1885	761.8	26	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	268	268	8954	8979	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	9	Fixation: 9199 ms	1021.9	832.5	112	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	275	278	9199	9310	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	10	Fixation: 9331 ms	868.3	887	669	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	279	299	9331	9999	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	11	Fixation: 11010 ms	82	795.4	21	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	329	330	11010	11030	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	12	Fixation: 14692 ms	806.6	2008.2	40	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	440	441	14692	14731	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	13	Fixation: 28323 ms	774.8	1142.8	78	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	849	851	28323	28400	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	14	Fixation: 43781 ms	860.5	1240.5	140	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	1313	1317	43781	43920	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	1	1w	15	Fixation: 44095 ms	884.5	1252.5	91	.	Full Trial Period	Trial: 1	data/0/W1H.mp4	data/0/W1H.mp4	1322	1325	44095	44185	12070102	1	False	attention3.wav	attention3.mp4	1	W1.jpg	0	DW1.jpg	DW1.jpg	White	M1H_frame1.jpg	3w	H	W1H.mp4
12070102	2	1w	1	Fixation: 6009 ms	930.5	996.2	665	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	61	81	6009	6673	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	2	Fixation: 6738 ms	1052.5	1020.6	640	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	83	102	6738	7377	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	3	Fixation: 7400 ms	1111.9	1065.7	80	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	103	105	7400	7479	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	4	Fixation: 8006 ms	1246.4	1177	96	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	121	124	8006	8101	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	5	Fixation: 8125 ms	1238.8	1183.1	29	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	125	125	8125	8153	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	6	Fixation: 10634 ms	2143.6	1092.8	109	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	200	203	10634	10742	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	7	Fixation: 10786 ms	1801.7	1042	78	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	204	207	10786	10863	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	8	Fixation: 11167 ms	710.8	956.4	134	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	216	220	11167	11300	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	9	Fixation: 11480 ms	665.3	981.9	87	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	225	228	11480	11566	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	10	Fixation: 24152 ms	719.5	976.8	253	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	605	613	24152	24404	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	11	Fixation: 24424 ms	869.2	928.5	206	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	614	620	24424	24629	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	12	Fixation: 24702 ms	895.3	1054.5	74	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	622	624	24702	24775	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	13	Fixation: 24802 ms	963.4	1061.2	856	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	625	651	24802	25657	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	14	Fixation: 25684 ms	945.6	790.8	484	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	651	666	25684	26167	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	15	Fixation: 26186 ms	875.2	798.8	231	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	666	673	26186	26416	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	16	Fixation: 26432 ms	901.1	804.4	38	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	674	675	26432	26469	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	17	Fixation: 26493 ms	886	914.1	893	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	676	702	26493	27385	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	18	Fixation: 27417 ms	958	922.9	857	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	703	729	27417	28273	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	19	Fixation: 28306 ms	1088.3	839.2	1152	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	730	765	28306	29457	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	20	Fixation: 29939 ms	921.7	897.6	1035	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	779	810	29939	30973	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	21	Fixation: 30995 ms	935.8	963.9	27	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	811	811	30995	31021	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	22	Fixation: 31038 ms	926.1	979.3	99	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	812	815	31038	31136	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	23	Fixation: 31183 ms	898.6	981.2	62	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	816	818	31183	31244	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
12070102	2	1w	24	Fixation: 31353 ms	896.9	979.9	27	.	Full Trial Period	Trial: 2	data/0/W2L.mp4	data/0/W2L.mp4	821	822	31353	31379	12070102	2	False	attention4.wav	attention4.mp4	2	W2.jpg	1	W2.jpg	DW2.jpg	White	M3L_frame1.jpg	4w	L	W2L.mp4
